"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted","Data_Label","Percentile_Range"
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Pennsylvania","PA","Total","Total","8.7","7.5","10.0","8.7 (7.5-10.0)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Puerto Rico","PR","Total","Total","8.1","7.0","9.3","8.1 (7.0-9.3)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Rhode Island","RI","Total","Total","9.4","8.3","10.6","9.4 (8.3-10.6)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","South Carolina","SC","Total","Total","9.8","8.8","10.8","9.8 (8.8-10.8)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","South Dakota","SD","Total","Total","8.4","6.9","10.0","8.4 (6.9-10.0)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Texas","TX","Total","Total","9.7","8.8","10.6","9.7 (8.8-10.6)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","U.S. Virgin Islands","VI","Total","Total","5.8","3.2","8.4","5.8 (3.2-8.4)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Utah","UT","Total","Total","9.0","8.3","9.6","9.0 (8.3-9.6)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Vermont","VT","Total","Total","8.9","7.9","9.8","8.9 (7.9-9.8)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Virginia","VA","Total","Total","9.9","8.8","10.9","9.9 (8.8-10.9)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Washington","WA","Total","Total","10.5","10.0","11.0","10.5 (10.0-11.0)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","West Virginia","WV","Total","Total","13.6","12.5","14.7","13.6 (12.5-14.7)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Wisconsin","WI","Total","Total","10.3","9.5","11.0","10.3 (9.5-11.0)",,
"2024","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Wyoming","WY","Total","Total","10.9","9.7","12.2","10.9 (9.7-12.2)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Alabama","AL","Total","Total","10.7","9.5","11.9","10.7 (9.5-11.9)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Alaska","AK","Total","Total","10.4","9.2","11.5","10.4 (9.2-11.5)",,
