Year,Question,Area,Area_abbr,Demographics_Type,Demographics_Value,Percent,Low_Confidence_Interval,High_Confidence_Interval,Confidence_Interval_Formatted,Data_Label,Percentile_Range
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Vermont,VT,Total,Total,25.8,24.3,27.3,25.8 (24.3-27.3),24.1% - 31.1%,76-100th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Connecticut,CT,Total,Total,19.3,18.1,20.4,19.3 (18.1-20.4),19.2% - 21.6%,26-50th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Maine,ME,Total,Total,26.3,24.9,27.6,26.3 (24.9-27.6),24.5% - 29.2%,76-100th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Massachusetts,MA,Total,Total,21.6,20.5,22.7,21.6 (20.5-22.7),19.2% - 21.6%,26-50th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New Hampshire,NH,Total,Total,25.2,23.5,26.8,25.2 (23.5-26.8),24.5% - 29.2%,76-100th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New Jersey,NJ,Total,Total,14.6,13.5,15.7,14.6 (13.5-15.7),9.5% - 18.5%,0-25th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New York,NY,Total,Total,17.8,17,18.6,17.8 (17-18.6),9.5% - 18.5%,0-25th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Pennsylvania,PA,Total,Total,21.7,19.8,23.6,21.7 (19.8-23.6),21.7% - 24.0%,51-75th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Rhode Island,RI,Total,Total,22.3,20.7,23.9,22.3 (20.7-23.9),21.7% - 24.0%,51-75th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Vermont,VT,Total,Total,24.8,23.5,26.1,24.8 (23.5-26.1),24.5% - 29.2%,76-100th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Connecticut,CT,Total,Total,13.9,12.8,15.1,13.9 (12.8-15.1),11.9% - 14.2%,0-25th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Maine,ME,Total,Total,16.4,15.5,17.4,16.4 (15.5-17.4),15.7% - 16.9%,51-75th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Massachusetts,MA,Total,Total,13.3,12.4,14.2,13.3 (12.4-14.2),11.9% - 14.2%,0-25th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Hampshire,NH,Total,Total,15.0,13.5,16.5,15.0 (13.5-16.5),14.5% - 15.6%,26-50th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Jersey,NJ,Total,Total,13.2,12.3,14.2,13.2 (12.3-14.2),11.9% - 14.2%,0-25th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New York,NY,Total,Total,14.2,13.7,14.7,14.2 (13.7-14.7),11.9% - 14.2%,0-25th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Pennsylvania,PA,Total,Total,16.0,14.3,17.6,16.0 (14.3-17.6),15.7% - 16.9%,51-75th percentile
2024,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Rhode Island,RI,Total,Total,14.5,13.1,15.8,14.5 (13.1-15.8),14.5% - 15.6%,26-50th percentile
