Year,Question,Area,Area_abbr,Demographics_Type,Demographics_Value,Percent,Low_Confidence_Interval,High_Confidence_Interval,Confidence_Interval_Formatted,Data_Label,Percentile_Range
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Connecticut,CT,Total,Total,30.5,28.9,32.1,30.5 (28.9-32.1),29.9% - 31.2%,26-50th percentile
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Maine,ME,Total,Total,30.1,28.8,31.4,30.1 (28.8-31.4),29.9% - 31.2%,26-50th percentile
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Massachusetts,MA,Total,Total,32.0,30.4,33.5,32.0 (30.4-33.5),31.6% - 33.3%,51-75th percentile
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New Hampshire,NH,Total,Total,27.7,25.9,29.4,27.7 (25.9-29.4),26.7% - 29.8%,0-25th percentile
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New Jersey,NJ,Total,Total,31.6,30.0,33.2,31.6 (30.0-33.2),31.6% - 33.3%,51-75th percentile
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New York,NY,Total,Total,32.8,31.4,34.3,32.8 (31.4-34.3),31.6% - 33.3%,51-75th percentile
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Rhode Island,RI,Total,Total,34.6,32.5,36.6,34.6 (32.5-36.6),33.5% - 37.7%,76-100th percentile
2023,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Vermont,VT,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Connecticut,CT,Total,Total,32.4,30.8,34,32.4 (30.8-34),32.1% - 33.3%,51-75th percentile
2022,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Maine,ME,Total,Total,31.8,30.4,33.3,31.8 (30.4-33.3),30.3% - 32.0%,26-50th percentile
