Label (Grouping),Connecticut!!Total!!Estimate,Connecticut!!Total!!Margin of Error,Connecticut!!Below poverty level!!Estimate,Connecticut!!Below poverty level!!Margin of Error,Connecticut!!Percent below poverty level!!Estimate,Connecticut!!Percent below poverty level!!Margin of Error,Maine!!Total!!Estimate,Maine!!Total!!Margin of Error,Maine!!Below poverty level!!Estimate,Maine!!Below poverty level!!Margin of Error,Maine!!Percent below poverty level!!Estimate,Maine!!Percent below poverty level!!Margin of Error,Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Below poverty level!!Estimate,Massachusetts!!Below poverty level!!Margin of Error,Massachusetts!!Percent below poverty level!!Estimate,Massachusetts!!Percent below poverty level!!Margin of Error,New Hampshire!!Total!!Estimate,New Hampshire!!Total!!Margin of Error,New Hampshire!!Below poverty level!!Estimate,New Hampshire!!Below poverty level!!Margin of Error,New Hampshire!!Percent below poverty level!!Estimate,New Hampshire!!Percent below poverty level!!Margin of Error,New Jersey!!Total!!Estimate,New Jersey!!Total!!Margin of Error,New Jersey!!Below poverty level!!Estimate,New Jersey!!Below poverty level!!Margin of Error,New Jersey!!Percent below poverty level!!Estimate,New Jersey!!Percent below poverty level!!Margin of Error,New York!!Total!!Estimate,New York!!Total!!Margin of Error,New York!!Below poverty level!!Estimate,New York!!Below poverty level!!Margin of Error,New York!!Percent below poverty level!!Estimate,New York!!Percent below poverty level!!Margin of Error,Pennsylvania!!Total!!Estimate,Pennsylvania!!Total!!Margin of Error,Pennsylvania!!Below poverty level!!Estimate,Pennsylvania!!Below poverty level!!Margin of Error,Pennsylvania!!Percent below poverty level!!Estimate,Pennsylvania!!Percent below poverty level!!Margin of Error,Rhode Island!!Total!!Estimate,Rhode Island!!Total!!Margin of Error,Rhode Island!!Below poverty level!!Estimate,Rhode Island!!Below poverty level!!Margin of Error,Rhode Island!!Percent below poverty level!!Estimate,Rhode Island!!Percent below poverty level!!Margin of Error,Vermont!!Total!!Estimate,Vermont!!Total!!Margin of Error,Vermont!!Below poverty level!!Estimate,Vermont!!Below poverty level!!Margin of Error,Vermont!!Percent below poverty level!!Estimate,Vermont!!Percent below poverty level!!Margin of Error
        Some other race alone,"272,469","±7,191","58,735","±4,474",21.6%,±1.5,"10,117","±1,123","1,191",±333,11.8%,±3.2,"402,672","±8,023","81,600","±3,759",20.3%,±0.9,"19,456","±1,618","2,470",±604,12.7%,±2.9,"936,010","±11,942","165,716","±6,335",17.7%,±0.6,"2,036,531","±20,479","446,102","±9,747",21.9%,±0.4,"471,810","±9,107","120,459","±6,337",25.5%,±1.2,"84,400","±4,041","19,960","±2,462",23.6%,±2.7,"4,486",±606,604,±179,13.5%,±4.0
        Two or more races,"404,438","±6,706","55,074","±3,143",13.6%,±0.7,"70,734","±2,947","8,568",±983,12.1%,±1.3,"760,331","±10,511","118,637","±4,705",15.6%,±0.6,"86,665","±2,821","9,228","±1,266",10.6%,±1.5,"1,141,161","±12,853","145,307","±5,704",12.7%,±0.5,"2,010,316","±19,358","322,315","±10,505",16.0%,±0.5,"900,181","±10,564","153,027","±5,686",17.0%,±0.6,"131,233","±5,323","23,002","±2,536",17.5%,±1.8,"33,465","±1,327","5,187",±706,15.5%,±1.9
        Hispanic or Latino origin (of any race),"647,909",±957,"128,653","±6,564",19.9%,±1.0,"28,448",±301,"2,989",±474,10.5%,±1.7,"912,700","±1,087","189,282","±5,852",20.7%,±0.6,"62,582",±360,"8,302","±1,103",13.3%,±1.8,"2,068,347","±1,744","334,187","±8,558",16.2%,±0.4,"3,856,567","±2,238","787,712","±12,086",20.4%,±0.3,"1,102,343","±1,455","251,763","±8,175",22.8%,±0.7,"190,522",±485,"42,191","±3,529",22.1%,±1.8,"15,305",±244,"2,414",±531,15.8%,±3.4
"        White alone, not Hispanic or Latino","2,186,538","±3,625","137,981","±4,316",6.3%,±0.2,"1,215,133","±2,461","125,041","±3,675",10.3%,±0.3,"4,551,044","±6,319","324,711","±6,424",7.1%,±0.1,"1,180,784","±1,885","80,465","±3,364",6.8%,±0.3,"4,681,126","±4,222","297,455","±8,678",6.4%,±0.2,"10,221,760","±6,592","997,041","±14,280",9.8%,±0.1,"9,226,343","±5,663","789,531","±9,966",8.6%,±0.1,"719,857","±1,934","56,128","±2,379",7.8%,±0.3,"563,589","±1,060","53,365","±2,299",9.5%,±0.4
    EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 25 years and over,"2,521,637",±479,"219,919","±5,288",8.7%,±0.2,"1,011,250",±561,"98,137","±2,640",9.7%,±0.3,"4,929,582","±1,018","441,952","±5,797",9.0%,±0.1,"1,004,961",±499,"67,208","±2,478",6.7%,±0.2,"6,446,796",±707,"545,522","±7,980",8.5%,±0.1,"13,847,445","±1,128","1,688,661","±15,412",12.2%,±0.1,"9,023,101",±938,"896,701","±11,001",9.9%,±0.1,"771,243",±484,"75,530","±2,674",9.8%,±0.3,"461,426",±451,"40,362","±1,656",8.7%,±0.4
            Less than high school graduate,"209,520","±4,092","51,984","±2,376",24.8%,±1.0,"51,507","±1,920","14,030",±861,27.2%,±1.3,"419,891","±6,317","105,231","±2,690",25.1%,±0.6,"54,159","±2,330","11,168",±979,20.6%,±1.6,"591,771","±6,862","124,758","±3,414",21.1%,±0.5,"1,632,322","±12,793","459,033","±7,383",28.1%,±0.4,"692,893","±8,909","174,314","±4,926",25.2%,±0.5,"78,557","±2,816","19,126","±1,357",24.3%,±1.5,"22,895","±1,032","5,665",±563,24.7%,±2.5
            High school graduate (includes equivalency),"632,258","±7,388","79,274","±2,791",12.5%,±0.4,"302,002","±3,678","42,110","±1,736",13.9%,±0.5,"1,101,100","±10,077","141,578","±3,318",12.9%,±0.3,"266,912","±4,647","25,587","±1,464",9.6%,±0.5,"1,610,555","±13,024","202,208","±4,695",12.6%,±0.3,"3,334,190","±20,207","561,163","±7,770",16.8%,±0.2,"2,932,863","±15,900","390,736","±6,003",13.3%,±0.2,"202,253","±3,894","28,788","±1,627",14.2%,±0.8,"122,711","±2,284","15,740","±1,041",12.8%,±0.8
"            Some college, associate's degree","599,975","±5,612","51,365","±2,279",8.6%,±0.4,"288,579","±3,837","25,470","±1,295",8.8%,±0.4,"1,063,136","±8,673","99,211","±2,833",9.3%,±0.2,"272,348","±4,021","17,627","±1,086",6.5%,±0.4,"1,408,776","±10,403","114,794","±3,320",8.1%,±0.2,"3,266,740","±12,520","370,800","±6,264",11.4%,±0.2,"2,182,713","±12,525","199,382","±4,385",9.1%,±0.2,"196,548","±4,165","16,171","±1,345",8.2%,±0.7,"112,395","±1,755","10,357",±823,9.2%,±0.7
            Bachelor's degree or higher,"1,079,884","±8,041","37,296","±1,548",3.5%,±0.1,"369,162","±4,784","16,527",±862,4.5%,±0.2,"2,345,455","±13,636","95,932","±2,643",4.1%,±0.1,"411,542","±4,692","12,826",±930,3.1%,±0.2,"2,835,694","±13,885","103,762","±3,379",3.7%,±0.1,"5,614,193","±25,895","297,665","±5,534",5.3%,±0.1,"3,214,632","±18,058","132,269","±3,118",4.1%,±0.1,"293,885","±3,881","11,445","±1,012",3.9%,±0.3,"203,425","±2,871","8,600",±648,4.2%,±0.3
    EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Civilian labor force 16 years and over,"1,935,839","±6,408","100,851","±3,575",5.2%,±0.2,"708,694","±3,914","35,633","±1,679",5.0%,±0.2,"3,846,287","±8,305","188,926","±4,271",4.9%,±0.1,"766,925","±3,931","25,400","±1,383",3.3%,±0.2,"4,977,538","±8,936","254,146","±5,354",5.1%,±0.1,"10,083,010","±16,928","682,550","±9,498",6.8%,±0.1,"6,595,992","±13,409","397,071","±6,689",6.0%,±0.1,"584,639","±4,023","32,257","±2,016",5.5%,±0.3,"345,222","±2,337","17,703",±996,5.1%,±0.3
            Employed,"1,828,827","±7,022","75,447","±2,577",4.1%,±0.1,"682,102","±4,010","28,602","±1,411",4.2%,±0.2,"3,650,517","±8,389","145,460","±3,786",4.0%,±0.1,"741,734","±4,029","21,389","±1,306",2.9%,±0.2,"4,664,475","±10,446","185,917","±4,367",4.0%,±0.1,"9,444,746","±18,036","500,874","±7,598",5.3%,±0.1,"6,252,977","±15,309","301,727","±5,166",4.8%,±0.1,"551,148","±3,866","23,724","±1,650",4.3%,±0.3,"333,206","±2,389","14,640",±928,4.4%,±0.3
                Male,"945,250","±4,341","30,088","±1,720",3.2%,±0.2,"349,715","±2,750","11,807",±844,3.4%,±0.2,"1,864,863","±5,630","61,366","±2,320",3.3%,±0.1,"389,647","±2,689","7,865",±662,2.0%,±0.2,"2,440,148","±7,133","80,914","±2,981",3.3%,±0.1,"4,837,477","±10,327","215,222","±4,269",4.4%,±0.1,"3,265,596","±8,515","126,900","±2,470",3.9%,±0.1,"285,853","±2,779","10,179","±1,123",3.6%,±0.4,"170,282","±1,627","6,310",±611,3.7%,±0.4
                Female,"883,577","±4,774","45,359","±1,876",5.1%,±0.2,"332,387","±2,441","16,795","±1,015",5.1%,±0.3,"1,785,654","±6,318","84,094","±2,684",4.7%,±0.1,"352,087","±2,786","13,524","±1,025",3.8%,±0.3,"2,224,327","±7,263","105,003","±2,817",4.7%,±0.1,"4,607,269","±12,485","285,652","±5,440",6.2%,±0.1,"2,987,381","±10,257","174,827","±4,339",5.9%,±0.1,"265,295","±2,340","13,545","±1,337",5.1%,±0.5,"162,924","±1,512","8,330",±732,5.1%,±0.5
            Unemployed,"107,012","±3,784","25,404","±1,851",23.7%,±1.4,"26,592","±1,454","7,031",±627,26.4%,±2.0,"195,770","±3,997","43,466","±2,223",22.2%,±1.0,"25,191","±1,500","4,011",±534,15.9%,±2.0,"313,063","±4,718","68,229","±2,668",21.8%,±0.8,"638,264","±6,654","181,676","±4,267",28.5%,±0.6,"343,015","±5,565","95,344","±3,453",27.8%,±0.8,"33,491","±1,933","8,533","±1,109",25.5%,±2.9,"12,016",±779,"3,063",±421,25.5%,±2.8
                Male,"59,050","±2,471","13,260","±1,208",22.5%,±1.8,"15,131","±1,041","4,028",±442,26.6%,±2.4,"106,668","±3,129","20,647","±1,607",19.4%,±1.3,"14,482","±1,102","2,046",±376,14.1%,±2.6,"163,284","±3,414","32,462","±1,561",19.9%,±0.9,"347,650","±4,813","90,705","±2,639",26.1%,±0.7,"185,198","±4,092","47,359","±2,292",25.6%,±1.0,"17,790","±1,253","3,870",±627,21.8%,±3.2,"6,929",±631,"1,672",±343,24.1%,±4.1
                Female,"47,962","±2,265","12,144","±1,157",25.3%,±2.0,"11,461",±816,"3,003",±403,26.2%,±3.1,"89,102","±2,381","22,819","±1,403",25.6%,±1.5,"10,709",±921,"1,965",±347,18.3%,±3.0,"149,779","±3,313","35,767","±1,939",23.9%,±1.1,"290,614","±4,506","90,971","±3,004",31.3%,±0.8,"157,817","±3,432","47,985","±2,391",30.4%,±1.3,"15,701","±1,232","4,663",±696,29.7%,±3.9,"5,087",±503,"1,391",±280,27.3%,±4.4
    WORK EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 16 years and over,"2,899,161","±1,294","271,267","±6,191",9.4%,±0.2,"1,133,863",±732,"116,967","±2,916",10.3%,±0.3,"5,641,129","±2,034","545,382","±7,131",9.7%,±0.1,"1,138,252",±877,"81,324","±2,794",7.1%,±0.2,"7,410,163","±2,727","660,003","±9,766",8.9%,±0.1,"15,841,482","±3,468","2,059,847","±19,095",13.0%,±0.1,"10,296,864","±2,663","1,108,312","±12,496",10.8%,±0.1,"881,687",±802,"93,355","±3,160",10.6%,±0.4,"525,182",±552,"52,033","±2,039",9.9%,±0.4
"            Worked full-time, year-round in the past 12 months","1,301,212","±6,251","17,864","±1,060",1.4%,±0.1,"478,920","±3,561","6,923",±673,1.4%,±0.1,"2,592,189","±9,890","31,504","±1,628",1.2%,±0.1,"535,976","±4,077","4,666",±467,0.9%,±0.1,"3,400,558","±10,190","53,398","±2,098",1.6%,±0.1,"6,776,985","±15,975","134,436","±3,509",2.0%,±0.1,"4,561,376","±15,119","83,083","±2,641",1.8%,±0.1,"398,064","±3,669","5,908",±885,1.5%,±0.2,"229,082","±2,296","3,250",±438,1.4%,±0.2
